,ethnicity,gender,county,employment_status,primary_language,household_size,education,age
8445,hispanic-white,male,Union County,employed,english,2,trade school or other certification,60
8446,black,female,Hardee County,employed,english,1,graduate degree,26
8447,hispanic-white,female,Lafayette County,employed,english,NA,high school,43
8448,hispanic-white,female,Liberty County,employed,english,4,high school,53
8449,hispanic-white,female,Lafayette County,employed,other,NA,high school,36
8450,caucasian,female,Liberty County,employed,english,4,high school,36
8451,hispanic-white,female,Santa Rosa County,employed,english,4,high school,23
8452,hispanic-white,female,Okeechobee County,employed,english,1,high school,59
8453,hispanic-white,female,Dixie County,employed,english,NA,high school,35
8454,caucasian,male,Lafayette County,unemployed,english,4,high school,37
8455,caucasian,female,Calhoun County,unemployed,english,1,graduate degree,38
8456,Native American and Alaskan Native,female,Liberty County,employed,other,NA,graduate degree,32
8457,caucasion,male,Liberty County,employed,english,4,high school,34
8458,hispanic-black,female,Bradford County,employed,english,4,some university,31
8459,caucasian,female,Liberty County,employed,english,1,high school,23
8460,African American,male,Hamilton County,unemployed,english,1,some university,40
8461,hispanic-white,female,Jefferson County,employed,english,1,high school,20
8462,Pacific Islander,female,Hardee County,employed,english,1,high school,28
8463,Native American,male,Wakulla County,employed,english,1,high school,36
8464,caucasion,female,Union County,employed,english,1,high school,25
8465,caucasion,female,Gilchrist County,employed,english,1,high school,60
8466,white,female,Calhoun County,employed,english,1,some university,53
8467,Native American,male,Calhoun County,employed,english,1,associate's degree,39
8468,hispanic-white,male,Glades County,employed,spanish,1,associate's degree,47
8469,hispanic-black,female,Hardee County,employed,english,NA,less than high school,58
8470,caucasion,female,Washington County,employed,english,NA,high school,35
8471,caucasion,male,Taylor County,employed,english,1,high school,46
8472,caucasian,female,Bradford County,employed,spanish,1,high school,28
8473,hispanic-white,female,Gulf County,employed,english,1,high school,44
8474,caucasion,male,Glades County,employed,english,NA,less than high school,57
8475,Native American and Alaskan Native,female,Gadsden County,unemployed,english,1,associate's degree,39
8476,caucasian,female,Washington County,employed,english,1,less than high school,31
8477,hispanic-white,female,Lafayette County,employed,english,1,high school,24
8478,hispanic-black,female,Hamilton County,employed,spanish,1,associate's degree,50
8479,hispanic-white,female,Hendry County,employed,english,NA,high school,40
8480,hispanic-white,female,Franklin County,employed,english,1,associate's degree,44
8481,Pacific Islander,female,Gadsden County,employed,spanish,1,some university,52
8482,Native American,male,Glades County,employed,spanish,2,high school,48
8483,hispanic-white,male,Gadsden County,employed,english,1,less than high school,52
8484,African American,male,Levy County,unemployed,english,3,high school,24
8485,hispanic-white,female,Baker County,employed,english,NA,bachelor's degree,45
8486,Native American,female,Highlands County,employed,english,1,high school,45
8487,caucasian,female,Jackson County,employed,english,NA,high school,44
8488,caucasion,female,Suwannee County,employed,other,NA,less than high school,26
8489,caucasion,male,Columbia County,unemployed,english,2,graduate degree,47
8490,caucasion,female,Monroe County,employed,english,3,some university,37
8491,Pacific Islander,female,Hardee County,employed,english,2,associate's degree,42
8492,African American,female,Franklin County,employed,english,NA,some university,26
8493,hispanic-white,female,Hardee County,employed,spanish,1,some university,20
8494,white,male,Liberty County,employed,english,1,high school,26
8495,Other,female,Union County,employed,english,2,high school,40
8496,white,female,Baker County,employed,english,1,less than high school,34
8497,hispanic-black,female,Leon County,employed,english,1,high school,41
8498,hispanic-white,female,Jackson County,employed,english,1,high school,30
8499,African American,female,Lafayette County,employed,english,1,graduate degree,30
8500,caucasion,male,Liberty County,unemployed,english,NA,associate's degree,30
8501,Native American and Alaskan Native,female,Lafayette County,employed,english,4,high school,57
8502,white,male,Franklin County,employed,english,1,high school,22
8503,caucasion,female,Union County,employed,english,1,high school,55
8504,white,female,Jefferson County,employed,english,2,high school,27
8505,African American,male,Taylor County,employed,english,NA,high school,39
8506,Native American,female,Taylor County,employed,english,NA,high school,57
8507,white,female,Jefferson County,employed,spanish,1,less than high school,29
8508,hispanic-white,female,Washington County,employed,english,NA,high school,24
8509,caucasion,male,Madison County,employed,english,4,less than high school,33
8510,hispanic-white,male,Lafayette County,unemployed,english,1,high school,46
8511,caucasian,female,Wakulla County,employed,english,2,high school,37
8512,Other,female,Franklin County,employed,english,1,associate's degree,36
8513,Native American and Alaskan Native,female,Levy County,employed,english,NA,high school,24
8514,caucasion,female,Liberty County,employed,english,4,high school,35
8515,hispanic-white,female,Suwannee County,employed,english,2,trade school or other certification,31
8516,hispanic-black,male,DeSoto County,employed,spanish,NA,some university,23
8517,asian,female,Holmes County,employed,english,NA,high school,51
8518,white,male,Hardee County,employed,english,1,high school,32
8519,hispanic-white,female,Lafayette County,employed,english,3,less than high school,27
8520,caucasion,male,Liberty County,employed,english,1,high school,52
8521,Asian,female,Wakulla County,employed,spanish,1,less than high school,56
8522,Asian,male,Liberty County,unemployed,english,1,high school,60
8523,hispanic-white,female,Jefferson County,employed,english,1,high school,36
8524,white,female,Jefferson County,employed,english,1,high school,23
8525,Asian,female,Union County,employed,english,NA,high school,41
8526,caucasion,female,St. Lucie County,employed,english,1,high school,39
8527,hispanic-white,female,Dixie County,employed,english,3,high school,50
8528,hispanic-white,female,Hamilton County,employed,spanish,1,bachelor's degree,45
8529,hispanic-black,female,Hamilton County,employed,english,2,less than high school,46
8530,Pacific Islander,male,Gilchrist County,employed,english,3,high school,37
8531,caucasion,male,St. Lucie County,employed,english,1,bachelor's degree,21
8532,hispanic-black,female,Calhoun County,employed,english,NA,high school,24
8533,hispanic-black,female,Calhoun County,employed,english,1,high school,60
8534,hispanic-white,female,Calhoun County,employed,spanish,3,bachelor's degree,43
8535,Native American and Alaskan Native,male,Hamilton County,employed,english,3,less than high school,58
8536,Asian,male,Liberty County,unemployed,english,NA,some university,57
8537,Asian,male,Lafayette County,employed,english,1,some university,31
8538,caucasian,female,Okaloosa County,employed,english,NA,less than high school,36
8539,white,female,Dixie County,unemployed,english,2,associate's degree,52
8540,hispanic-black,male,Franklin County,employed,english,1,associate's degree,56
8541,caucasion,female,Bradford County,employed,english,NA,associate's degree,36
8542,caucasian,female,Lafayette County,unemployed,spanish,4,less than high school,40
8543,hispanic-white,female,Manatee County,employed,english,3,high school,53
8544,caucasion,female,Walton County,employed,english,NA,less than high school,57
8545,caucasion,female,Liberty County,employed,english,1,high school,35
8546,white,female,Taylor County,employed,spanish,1,high school,29
8547,caucasian,male,Okeechobee County,employed,english,NA,high school,20
8548,hispanic-black,female,Jefferson County,employed,spanish,NA,high school,50
8549,hispanic-white,female,Okeechobee County,employed,other,1,high school,24
8550,Native American and Alaskan Native,male,Levy County,employed,spanish,NA,bachelor's degree,52
8551,caucasion,female,DeSoto County,employed,english,NA,associate's degree,54
8552,white,female,Jefferson County,employed,english,2,high school,26
8553,white,female,Liberty County,unemployed,english,1,trade school or other certification,34
8554,caucasian,female,Okeechobee County,employed,english,1,some university,40
8555,hispanic-black,female,Lafayette County,employed,english,4,associate's degree,26
8556,hispanic-black,female,Dixie County,employed,english,1,high school,30
8557,white,female,Hamilton County,employed,english,1,high school,38
8558,caucasion,female,Walton County,employed,english,NA,high school,50
8559,hispanic-white,female,Washington County,unemployed,spanish,1,associate's degree,38
8560,caucasion,female,Liberty County,employed,english,3,some university,31
8561,caucasion,male,Hamilton County,employed,english,NA,high school,51
8562,hispanic-black,female,Lafayette County,employed,english,1,high school,55
8563,Native American,female,Columbia County,employed,english,1,high school,39
8564,hispanic-black,male,Lafayette County,employed,english,3,associate's degree,53
8565,caucasion,female,Washington County,employed,english,1,associate's degree,31
8566,caucasion,female,Holmes County,employed,english,1,graduate degree,46
8567,hispanic-black,male,Liberty County,unemployed,english,4,high school,52
8568,Other,female,Dixie County,employed,english,1,high school,31
8569,caucasion,female,Union County,employed,english,1,high school,44
8570,hispanic-white,female,Franklin County,employed,english,2,less than high school,38
